|name|url|year|certificate|rating|votes|plot|Action|Adventure|Comedy|Crime|Family|Fantasy|Mystery|Sci-Fi|Thriller
1|Spider-Man|https://www.imdb.com/title/tt5807780/?ref_=adv_li_tt|2018|T|3|20759|When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE
2|Red Dead Redemption II|https://www.imdb.com/title/tt6161168/?ref_=adv_li_tt|2018|M|1|35703|Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.|TRUE|TRUE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE
3|Grand Theft Auto V|https://www.imdb.com/title/tt2103188/?ref_=adv_li_tt|2013|M|5|59986|Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.|TRUE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE
4|God of War|https://www.imdb.com/title/tt5838588/?ref_=adv_li_tt|2018|M|7|26118|After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
5|Uncharted 4: A Thief's End|https://www.imdb.com/title/tt3334704/?ref_=adv_li_tt|2016|T|6|28722|Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
6|The Last of Us: Part II|https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt|2020|M|8|30460|Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
7|Horizon Forbidden West|https://www.imdb.com/title/tt12496904/?ref_=adv_li_tt|2022|T|9|2979|Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE
8|The Last of Us|https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt|2013|M|10|60590|In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.|TRUE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE
